handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_399f74b7-e253-fcef-8d43-9e24c0ed6e33,Product,Washington Puff Vest (Black),"Stay warm and stylish with the Washington Puff Vest in Black, exclusively available at CETS Apparel. Crafted with lightweight insulation and a sleek, water-resistant finish, this vest offers exceptional comfort and durability for any season. Designed to seamlessly layer over your favorite outfits, it embodies CETS Apparel’s commitment to quality and modern functionality. Perfect for urban adventures or casual outings, the Washington Puff Vest combines practicality with a timeless look. Experience the convenience of shopping with CETS Apparel, where premium apparel meets customer-focused service.",b7f29b_355235f8acfa4b47b071f17090180add~mv2.png;b7f29b_bfba3d253547424683d633b05c83f377~mv2.png;b7f29b_82edb1485edd4993afbdf86a24d35f85~mv2.png,,,,100.0,,true,PERCENT,0.0,InStock,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4437d20b-ba2a-109a-7842-e22442db37d6,Product,Washington Puff Vest,"The Washington Puff Vest from CETS Apparel combines lightweight warmth with sleek, modern design, making it an essential layering piece for any wardrobe. Crafted with premium materials, this vest offers exceptional insulation without bulk, perfect for staying comfortable during cooler days. At CETS Apparel, we prioritize quality and style, ensuring every product meets our high standards for durability and versatility. Whether you're heading outdoors or adding an urban edge to your outfit, the Washington Puff Vest delivers reliable performance and timeless appeal. Experience the perfect balance of function and fashion with this must-have vest.",b7f29b_dcc4fab2ba10493c8d438e2da5b8d2d6~mv2.png;b7f29b_8b743f68e92649d199507fe1b467b81a~mv2.png,,,New Arrival,100.0,,true,PERCENT,0.0,InStock,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_95c465df-24d4-4254-c936-0d4b8c827dae,Product,Dallas Varsity Jacket,"<p>Elevate your style with the Dallas Varsity Jacket from CETS Apparel, featuring a premium wool body and sleek faux leather sleeves. This blue wool with classic gray sleeves&nbsp;design not only offers a sophisticated look but also ensures you stay warm, courtesy of its insulated lining. Show off your passion for football with eye-catching Superbowl patches, while the convenient inside pocket adds practicality to your wardrobe. Perfect for those who value both fashion and function, this jacket is a must-have this season.</p>",b7f29b_fa49e12b9da04428920e9f73bcfaf42d~mv2.png;b7f29b_74d58821dd674604bd3369c1277a1d4e~mv2.png;b7f29b_ae17bfeb992b445abd82c69b07c0e57e~mv2.png;b7f29b_62004b5d5eb6486b99ba48c49bff7939~mv2.png;b7f29b_858abd9b5cd34f25b77d8eebbca1a0e0~mv2.png;b7f29b_92892f64f24c4a73b8a268529dc4f6b8~mv2.png;b7f29b_ac443fee0e774a07bcab010fa8ac0d9f~mv2.png;b7f29b_0922d9879d8442a59c8190424c9e4052~mv2.png;b7f29b_2da1e407a2b748e9960f9f33a9a763d6~mv2.png;b7f29b_26f21571a7824b8aa581ce2666402275~mv2.png;b7f29b_db2dd3e12eda41b69861755813296658~mv2.jpg;b7f29b_8e6490c3b7d74174bd6fe55b0600a420~mv2.png,Varsity Jackets,,,225.0,,true,PERCENT,0.0,InStock,,65.0,Size,DROP_DOWN,Medium;Large;XL;XXL;3XL;6XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_040b946a-3366-c0b5-5c54-1cff107c5dbe,Product,Burgundy Washington Varsity Jacket,"Experience timeless style and unparalleled comfort with the Burgundy Washington Varsity Jacket from CETS Apparel. This jacket features a wool chest for premium warmth, complemented by durable faux leather sleeves. Eye-catching Super Bowl patches add a unique touch, while an inside pocket keeps your essentials secure. The warm lining ensures you stay cozy in any weather. Elevate your wardrobe with this standout piece, reflecting our commitment to high-quality, stylish apparel.",b7f29b_3178a51b246f42008fdcd667b74e5541~mv2.jpg;b7f29b_c2a2ab88d65241729264eaa56aba7f83~mv2.png;b7f29b_f14cceeb9b1047d992fa8069a652059e~mv2.png;b7f29b_75155387d6654b779fec7d57cf8b25ce~mv2.png;b7f29b_c3eea311e8874ebdacbd63f51516bab6~mv2.jpg;b7f29b_ecb12c53ba3b4f908a7ec5d289056b7e~mv2.jpg;b7f29b_a147a02670774873b88b36fcd2cb3910~mv2.jpg;b7f29b_dae6e941d8a2416da111063758fcb834~mv2.jpg;b7f29b_d8fdeae0e7014743b4685f10ad9baf07~mv2.png;b7f29b_0b34aab85cce45dba29fdc91d14586d0~mv2.jpg;b7f29b_50ed1f2048d24075a942cca8d8849b0b~mv2.png,Varsity Jackets,,,225.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,3XL;2XL;XL;Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_040b946a-3366-c0b5-5c54-1cff107c5dbe,Variant,,,,,,,,,true,,,1,,48.0,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_040b946a-3366-c0b5-5c54-1cff107c5dbe,Variant,,,,,,,,,true,,,2,,48.0,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_040b946a-3366-c0b5-5c54-1cff107c5dbe,Variant,,,,,,,,,true,,,3,,48.0,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_040b946a-3366-c0b5-5c54-1cff107c5dbe,Variant,,,,,,,,,true,,,1,,48.0,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cc9904bf-d3fd-7d48-aa85-4f7419b937c2,Product,Washington Varsity Jacket,"Elevate your style with the Washington Varsity Jacket from CETS Apparel, featuring a premium wool body and sleek faux leather sleeves. This black on black design not only offers a sophisticated look but also ensures you stay warm, courtesy of its insulated lining. Show off your passion for football with eye-catching Superbowl patches, while the convenient inside pocket adds practicality to your wardrobe. Perfect for those who value both fashion and function, this jacket is a must-have this season.",b7f29b_f47afadb2467476eb25b16df761d4f59~mv2.png;b7f29b_20a539ee679f406f82844ca14fb4be85~mv2.png;b7f29b_1b9f7049101445759a37e37c5f4db994~mv2.png;b7f29b_fff11ae516ce45429c534ec3ca671749~mv2.png;b7f29b_d6a5d678ff844ceeb1a7a68109c0372e~mv2.png;b7f29b_fb9e280738384d35a4531603914f2782~mv2.jpg;b7f29b_e4ef8e5141534688a2bb20b6f9c2ce2c~mv2.jpg;b7f29b_c921b4593e1b4c099d759533e36ce80e~mv2.jpg;b7f29b_92069d7ff582481eb188a1956e61b68e~mv2.jpg;b7f29b_b2708fa44cbc486e8eb9120eed8abd86~mv2.jpg;b7f29b_a678d321c5ba450f8f6993c74ed10332~mv2.jpg;b7f29b_6b78e4b85d45455b8d8a0c0b07dc5836~mv2.jpg,Varsity Jackets,,,225.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,4XL;Medium;XL;2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cc9904bf-d3fd-7d48-aa85-4f7419b937c2,Variant,,,,,,,,,true,,,1,,48.0,,,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
